Id,Price
4567,159611.24253167986
5925,124104.9187891525
960,146279.1143698468
3848,175098.9964765469
746,183542.46409402657
868,329933.52456468414
672,134992.3171590565
2471,194527.31770471905
4510,146011.64247189387
8354,271462.80238320935
6393,169718.24541350757
13270,231731.68960648164
5250,359038.85263695684
16751,146675.9297206129
11404,127062.20837193943
10588,293417.5965304277
14925,188806.70208733063
6791,247021.03932958478
16097,177086.2740631571
16428,383077.74103531137
6945,302069.25122843316
3190,192904.5564523732
15709,407817.5585830792
13155,177972.82922315435
7675,193785.60902259045
14686,254457.54272579282
609,175036.2757223774
11155,193289.63216258428
10869,273330.8576949241
15742,188204.9084891799
9245,196432.73800880596
3340,209807.24426846756
2359,280348.52892876347
8070,185335.47202428526
13707,141564.2188825662
16079,259210.92792417295
15937,305426.0566181281
14090,170484.80593989062
9008,193629.96329585076
16384,173246.7434631428
11657,252509.4090461111
13151,183305.76186750497
8990,251686.4675754365
11857,183168.96718655012
1565,172354.7091246641
8174,78860.1550546471
9247,248968.56252824786
10478,254568.30208687388
15509,142096.59943838266
8306,258682.15048148087
6642,176475.38768224206
7472,194661.80367423058
15989,132578.99819325746
13682,133194.89077650785
163,269384.634376892
7076,190318.385566798
7478,327885.138950933
3029,189378.1961719887
1814,136453.21510355792
10057,132040.16609866434
15100,215895.20770926203
12694,219555.9218960053
6291,174438.94827035375
12603,194867.01794436525
3218,221994.98968484483
13456,132416.8682198559
10170,225943.99629562616
4530,166550.5459711971
13329,158595.60062489682
4820,148082.95744920606
10896,177160.05461713512
13416,121427.56858137516
2701,237587.86173432795
11265,347999.61531846627
9189,272836.92438877927
1858,185224.4712609594
14536,254819.0936251281
6199,311159.0180696623
14730,166751.73070812135
7510,242825.07934600368
15505,165974.6596963672
7446,184276.26264759942
14016,199082.35274990724
14113,127754.78152097842
8721,323280.1285616634
6193,330188.44198567537
5717,181584.65853335318
5427,328888.54435103503
9520,397105.86570507375
6869,102266.23641745625
1658,160317.7762186677
6639,243287.42500636607
6283,184081.69247706304
6257,124852.70772568992
15235,181533.9720182268
902,229992.7430354796
8932,204742.7846303169
16469,370424.68493188656
2825,264492.9045253335
6450,409827.3736035643
11366,183681.1663191208
3801,369825.0693994294
11385,182915.9801757028
1079,183833.44372635765
3202,237150.13911845113
676,225496.7697948291
6185,314371.6339940431
7730,179335.93676466166
2573,173251.70091437417
10978,200125.02176468755
10962,263100.16803679965
8870,192561.69619217078
8496,173669.1725904915
5517,163353.55444379052
927,180851.6949242238
13675,187205.20076552403
1499,225377.6797906544
15536,328826.13684607146
8602,355841.16688166506
12137,421731.81723492936
9865,255125.66291283033
16353,261055.75973067663
15908,216464.52619653326
3944,191865.79547612288
10359,188623.87032660726
15158,199968.1074407933
3259,257325.91549126484
7220,321477.5928060237
13843,212438.6247004333
16736,180529.38245462862
702,241713.78935916026
16401,135899.16566626608
12134,189728.38890039013
6918,174886.20029183952
11792,130087.26492139699
3798,168661.61569098232
10395,131091.53577536496
11099,160433.03600281538
7090,209599.26611829957
11260,187388.70585414217
9647,230574.49835730117
2903,312058.9108786943
2071,193019.53010857114
8604,229266.4401777952
9346,204118.37321464997
3945,202472.23205634803
3420,137654.73470940077
10842,127239.4259491414
725,180273.72163186327
13931,185398.20467418947
16330,242721.14961347778
9066,412543.0232192965
3326,284547.1658412049
1556,271616.8829926684
6579,104124.1339058192
13877,143339.47051777015
9857,323964.0920005182
7302,261084.6624805295
5684,186005.59928852826
